Date,B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
2016-03-04,0,0,0,0,0,0,0
2016-03-05,5422,1214,12023,30,3990,459,0
2016-03-06,5029,577,7620,21,3726,331,192
2016-03-07,0,0,0,0,0,0,0
2016-03-08,4375,728,9639,6,3942,96,336
2016-03-09,0,0,0,0,0,0,0
2016-03-10,3283,2556,12005,221,0,29,0
2016-03-11,4337,3438,11957,121,3109,37,0
2016-03-12,0,0,0,0,0,0,0
2016-03-13,0,0,63,0,0,0,0
2016-03-14,3124,1208,14883,13,6308,110,1
2016-03-15,2104,309,8471,37,4940,150,0
2016-03-16,4578,1120,22286,52,5142,136,240
2016-03-17,3201,2297,9026,115,6874,229,1296
2016-03-18,647,1070,9900,63,6540,202,0
2016-03-19,0,0,0,12,0,0,0
2016-03-20,0,0,0,0,0,0,0
2016-03-21,3886,377,16055,76,1982,54,0
2016-03-22,2310,535,7660,45,2942,993,0
2016-03-23,4800,949,17553,18,10062,161,0
2016-03-24,3753,1630,16374,19,6431,256,24
2016-03-25,36,660,16986,15,5245,550,0
2016-03-26,0,0,0,4,0,0,0
2016-03-27,0,0,0,3,0,0,0
2016-03-28,2922,716,5644,226,2335,50,0
2016-03-29,4410,482,9201,65,3658,312,0
2016-03-30,4851,640,11824,45,6394,81,384
2016-03-31,4837,796,25793,48,5824,171,1152
2016-04-01,3050,3027,7778,9,4342,25,864
2016-04-02,3397,1849,12945,43,2532,180,1539
2016-04-03,4008,301,14746,51,6746,241,0
2016-04-04,5752,1745,15307,7,5800,132,0
2016-04-05,2354,1098,18682,132,5668,201,144
2016-04-06,0,0,0,9,0,0,0
2016-04-07,0,1,96,0,0,0,0
2016-04-08,3356,1454,8069,90,4205,107,0
2016-04-09,0,0,0,0,0,0,0
2016-04-10,2850,1200,11176,40,0,684,0
2016-04-11,4149,795,14527,30,9882,221,0
2016-04-12,0,0,0,0,0,0,0
2016-04-13,3414,1312,12193,12,4309,52,24
2016-04-14,1640,1284,16504,15,6129,70,1248
2016-04-15,3261,782,13363,16,5582,242,0
2016-04-16,0,0,0,6,0,0,0
2016-04-17,0,46,0,0,0,0,0
2016-04-18,2883,1098,14449,3,3134,66,0
2016-04-19,3244,487,6263,39,2681,93,0
2016-04-20,3143,2996,9502,163,3560,35,432
2016-04-21,3100,3182,9852,45,4452,1265,1346
