B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
3356,708,11036,28,1634,23,0
4955,1623,16016,30,10196,0,0
3142,1552,12572,27,4644,184,192
4395,281,13378,61,5496,4,1488
3374,449,92,18,192,204,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,108,5969,9,3066,118,11
102,845,7932,38,3902,36,0
42,1597,9751,39,3572,2,0
0,1,1649,6,348,2,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3659,1003,14473,117,6344,91,168
3190,915,31422,48,14912,211,628
0,0,96,0,48,0,0
3321,1436,14243,17,4716,116,0
3440,1352,13894,160,10925,661,0
0,0,0,0,0,0,0
4508,931,12021,21,2978,36,0
3358,1014,22051,40,13787,189,0
0,0,156,0,61,0,0
3737,1701,13763,37,4463,406,0
4596,369,16907,37,8218,23,24
3770,872,10138,61,2846,285,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2676,861,7766,6,3739,2,0
4153,754,14505,12,2564,1452,0
3633,280,13118,14,5701,9,0
3224,766,8740,9,5629,167,2496
3681,1754,11781,75,5261,213,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3281,292,10765,25,1909,0,0
3574,778,8236,9,2392,4,0
5621,1091,6403,10,3278,48,192
5165,328,12483,21,3707,220,0
3433,127,6440,44,4696,114,0
0,0,0,3,0,0,0
0,0,0,0,0,0,0
2955,2692,8845,9,2537,211,0
3641,382,12142,52,6078,82,0
0,0,0,0,0,0,0
5096,1602,9241,33,5910,27,1152
4189,3797,16695,146,7463,1131,835
0,0,0,0,0,0,0
3636,864,9347,32,2828,137,497
4102,349,13116,29,7509,13,1584
0,0,0,0,0,0,0
4168,1345,16348,120,10276,357,272
0,0,0,0,0,0,0
2703,1935,26420,35,11220,352,0
3361,2363,16263,96,12042,318,0
0,0,178,0,0,0,0
3514,2062,6177,28,6421,0,0
4097,2805,7428,21,2458,173,0
2325,758,13522,28,4460,322,192
2622,1590,14555,49,5617,11,1680
3365,530,6247,152,4131,24,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3040,1006,7784,18,2267,102,0
4765,67,5262,97,1112,333,0
